county,name,year,population
20,Dalarnas län,1979,285545.0
20,Dalarnas län,1980,286968.0
20,Dalarnas län,1981,286482.0
20,Dalarnas län,1982,286278.0
20,Dalarnas län,1983,285610.0
20,Dalarnas län,1984,285113.0
20,Dalarnas län,1985,283880.0
20,Dalarnas län,1986,283191.0
20,Dalarnas län,1987,283330.0
20,Dalarnas län,1988,284407.0
20,Dalarnas län,1989,286667.0
20,Dalarnas län,1990,289067.0
20,Dalarnas län,1991,290388.0
20,Dalarnas län,1992,290245.0
20,Dalarnas län,1993,290515.0
20,Dalarnas län,1994,291203.0
20,Dalarnas län,1995,289956.0
20,Dalarnas län,1996,288171.0
20,Dalarnas län,1997,285232.0
20,Dalarnas län,1998,282898.0
20,Dalarnas län,1999,280575.0
20,Dalarnas län,2000,278259.0
20,Dalarnas län,2001,277010.0
20,Dalarnas län,2002,276636.0
20,Dalarnas län,2003,276520.0
20,Dalarnas län,2004,276042.0
20,Dalarnas län,2005,275755.0
20,Dalarnas län,2006,275711.0
20,Dalarnas län,2007,275618.0
20,Dalarnas län,2008,275867.0
20,Dalarnas län,2009,276454.0
20,Dalarnas län,2010,277047.0
20,Dalarnas län,2011,276565.0
20,Dalarnas län,2012,276555.0
20,Dalarnas län,2013,277349.0
20,Dalarnas län,2014,278903.0
20,Dalarnas län,2015,281028.0
21,Gävleborgs län,1968,293829.0
21,Gävleborgs län,1969,292762.0
21,Gävleborgs län,1970,293456.0
21,Gävleborgs län,1971,293601.0
21,Gävleborgs län,1972,292922.0
21,Gävleborgs län,1973,292021.0
21,Gävleborgs län,1974,292760.0
21,Gävleborgs län,1975,294412.0
21,Gävleborgs län,1976,294627.0
21,Gävleborgs län,1977,294412.0
21,Gävleborgs län,1978,294288.0
21,Gävleborgs län,1979,293959.0
21,Gävleborgs län,1980,294020.0
21,Gävleborgs län,1981,293657.0
21,Gävleborgs län,1982,292723.0
21,Gävleborgs län,1983,291497.0
21,Gävleborgs län,1984,290533.0
21,Gävleborgs län,1985,289153.0
21,Gävleborgs län,1986,287691.0
21,Gävleborgs län,1987,286907.0
21,Gävleborgs län,1988,287004.0
21,Gävleborgs län,1989,288223.0
21,Gävleborgs län,1990,289294.0
21,Gävleborgs län,1991,289339.0
21,Gävleborgs län,1992,289190.0
21,Gävleborgs län,1993,289612.0
21,Gävleborgs län,1994,289654.0
